2.1: What is the probability that a randomly selected student from this dataset is female and has an hs_gpa of at least 3.0?,,,,,,,,,,,,,,,
sex,CAE_v,CAE_m,CAE_sum,hs_gpa,fy_gpa,,,,,,,,,,
2,49,60,109,3,2.35,,,,,,,,,,
2,56,58,114,3,2.09,,,,,,,,,,
2,35,48,83,3,2.88,,,,,,,,,,
2,68,51,119,3.1,1.61,,,,,,,,,,
2,60,62,122,3.2,2.37,,,,,,,,,,
2,49,43,92,3.25,2.4,,,,,,,,,,
2,50,60,110,3.25,1.8,,,,,,,,,,
2,67,54,121,3.25,2.79,,,,,,,,,,
2,46,57,103,3.25,2.91,,,,,,,,,,
2,49,58,107,3.4,2.55,,,,,,,,,,
2,50,52,102,3.4,2.9,,,,,,,,,,
2,56,52,108,3.5,3.31,,,,,,,,,,
2,58,58,116,3.5,3.59,,,,,,,,,,
2,52,55,107,3.5,3.37,,,,,,,,,,
2,50,54,104,3.6,3.13,,,,,,,,,,
2,41,38,79,3.6,1.56,,,,,,,,,,
2,51,50,101,3.7,2.9,,,,,,,,,,
2,45,48,93,3.7,2.93,,,,,,,,,,
2,54,56,110,3.7,3.13,,,,,,,,,,
2,60,68,128,3.7,1.95,,,,,,,,,,
2,51,59,110,3.7,3.1,,,,,,,,,,
2,52,59,111,3.75,3.19,,,,,,,,,,
2,52,52,104,3.75,2.54,,,,,,,,,,
2,53,57,110,3.75,3.34,,,,,,,,,,
2,57,57,114,3.8,2.38,,,,,,,,,,
2,49,57,106,3.8,3.34,,,,,,,,,,
2,49,48,97,4,2.65,,,,,,,,,,
2,53,67,120,4,3.92,,,,,,,,,,
2,54,59,113,4,2.71,,,,,,,,,,
,,,,,,,,,,,,,,,
Number,29,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
What is the probability that a randomly selected student from this dataset has an hs_gpa of at least 3.5?,,,,,,,,,,,,,,,
sex,CAE_v,CAE_m,CAE_sum,hs_gpa,fy_gpa,,,,,,,,,,
1,42,37,79,4.5,1.13,,,,,,,,,,
1,60,67,127,4,2.75,,,,,,,,,,
1,56,64,120,4,3.09,,,,,,,,,,
1,63,72,135,4,3.72,,,,,,,,,,
1,52,52,104,4,2.62,,,,,,,,,,
1,41,63,104,4,2.14,,,,,,,,,,
1,58,77,135,4,3.43,,,,,,,,,,
1,46,57,103,4,3.76,,,,,,,,,,
1,44,59,103,3.8,2.66,,,,,,,,,,
1,66,57,123,3.75,2.9,,,,,,,,,,
1,58,59,117,3.75,2.79,,,,,,,,,,
1,51,73,124,3.75,3.08,,,,,,,,,,
1,52,66,118,3.75,3.14,,,,,,,,,,
1,53,62,115,3.7,1.8,,,,,,,,,,
1,49,65,114,3.7,3.69,,,,,,,,,,
1,48,60,108,3.6,2.18,,,,,,,,,,
1,44,59,103,3.5,3.08,,,,,,,,,,
1,35,45,80,3.5,2,,,,,,,,,,
1,71,70,141,3.5,2.42,,,,,,,,,,
1,46,56,102,3.5,2.69,,,,,,,,,,
1,47,60,107,3.5,2.56,,,,,,,,,,
1,50,60,110,3.5,2.6,,,,,,,,,,
2,56,52,108,3.5,3.31,,,,,,,,,,
2,58,58,116,3.5,3.59,,,,,,,,,,
2,52,55,107,3.5,3.37,,,,,,,,,,
2,50,54,104,3.6,3.13,,,,,,,,,,
2,41,38,79,3.6,1.56,,,,,,,,,,
2,51,50,101,3.7,2.9,,,,,,,,,,
2,45,48,93,3.7,2.93,,,,,,,,,,
2,54,56,110,3.7,3.13,,,,,,,,,,
2,60,68,128,3.7,1.95,,,,,,,,,,
2,51,59,110,3.7,3.1,,,,,,,,,,
2,52,59,111,3.75,3.19,,,,,,,,,,
2,52,52,104,3.75,2.54,,,,,,,,,,
2,53,57,110,3.75,3.34,,,,,,,,,,
2,57,57,114,3.8,2.38,,,,,,,,,,
2,49,57,106,3.8,3.34,,,,,,,,,,
2,49,48,97,4,2.65,,,,,,,,,,
2,53,67,120,4,3.92,,,,,,,,,,
2,54,59,113,4,2.71,,,,,,,,,,
,,,,,,,,,,,,,,,
Number,40,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"2.3: What is the probability that a randomly selected student from this dataset has an hs_gpa of less than 2.5, given that the student is female?",,,,,,,,,,,,,,,
sex,CAE_v,CAE_m,CAE_sum,hs_gpa,fy_gpa,,,,,,,,,,
2,34,50,84,2,2,,,,,,,,,,
2,42,43,85,2.4,2.24,,,,,,,,,,
,,,,,,,,,,,,,,,
Number,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 What is the probability that a randomly selected student from this dataset has an fy_gpa of less than 2.0?,,,,,,,,,,,,,,,
sex,CAE_v,CAE_m,CAE_sum,hs_gpa,fy_gpa,,,,,,,,,,
1,56,50,106,2.5,0.55,,,,,,,,,,
1,42,37,79,4.5,1.13,,,,,,,,,,
1,48,53,101,2.67,1.16,,,,,,,,,,
1,40,52,92,2.5,1.24,,,,,,,,,,
1,56,47,103,2.7,1.41,,,,,,,,,,
1,36,53,89,2.75,1.44,,,,,,,,,,
2,45,55,100,2.7,1.5,,,,,,,,,,
1,54,54,108,3.3,1.5,,,,,,,,,,
1,46,52,98,2.5,1.54,,,,,,,,,,
2,38,48,86,2.7,1.55,,,,,,,,,,
2,41,38,79,3.6,1.56,,,,,,,,,,
2,43,43,86,2.5,1.59,,,,,,,,,,
1,49,57,106,3.4,1.6,,,,,,,,,,
2,68,51,119,3.1,1.61,,,,,,,,,,
2,47,47,94,2.6,1.67,,,,,,,,,,
1,51,64,115,2.6,1.7,,,,,,,,,,
1,48,41,89,2.3,1.71,,,,,,,,,,
2,39,45,84,2.5,1.72,,,,,,,,,,
2,37,51,88,2.5,1.8,,,,,,,,,,
1,53,62,115,3.7,1.8,,,,,,,,,,
2,50,60,110,3.25,1.8,,,,,,,,,,
2,29,60,89,2.5,1.92,,,,,,,,,,
2,60,68,128,3.7,1.95,,,,,,,,,,
1,45,43,88,2.9,1.98,,,,,,,,,,
,,,,,,,,,,,,,,,
Number,24,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"2.5: What is the probability that a randomly selected student from this dataset is male, given that the student has a CAE_sum score of at least 120?",,,,,,,,,,,,,,,
sex,CAE_v,CAE_m,CAE_sum,hs_gpa,fy_gpa,,,,,,,,,,
1,71,70,141,3.5,2.42,,,,,,,,,,
1,58,77,135,4,3.43,,,,,,,,,,
1,63,72,135,4,3.72,,,,,,,,,,
1,60,67,127,4,2.75,,,,,,,,,,
1,52,73,125,2.5,2.72,,,,,,,,,,
1,51,73,124,3.75,3.08,,,,,,,,,,
1,66,57,123,3.75,2.9,,,,,,,,,,
1,55,67,122,3.3,2.75,,,,,,,,,,
1,57,65,122,2.8,2.83,,,,,,,,,,
1,53,68,121,3.2,2.09,,,,,,,,,,
1,56,64,120,4,3.09,,,,,,,,,,
,,,,,,,,,,,,,,,
Number,11,,,,,,,,,,,,,,
